"ID","Sepal.Length","Sepal.Width","Species"
1,6.4,3.2,"versicolor"
2,7.7,3.8,"virginica"
3,5.7,3,"versicolor"
4,6.1,2.8,"versicolor"
5,5.1,3.3,"setosa"
6,4.3,3,"setosa"
7,6.2,2.8,"virginica"
8,5,3.5,"setosa"
9,4.8,3,"setosa"
10,5.5,2.3,"versicolor"
11,5.1,3.8,"setosa"
12,5.5,2.6,"versicolor"
13,5.5,3.5,"setosa"
14,5,3.2,"setosa"
15,6.3,2.8,"virginica"
16,6.4,3.2,"versicolor"
17,6.7,3.3,"virginica"
18,6.7,3,"virginica"
19,,4.4,"setosa"
20,5.7,2.8,"versicolor"
21,7.7,2.8,"virginica"
22,6.4,3.1,"virginica"
23,5.6,2.9,"versicolor"
24,6.3,2.8,"virginica"
25,6,2.2,"virginica"
26,6,2.2,"virginica"
27,6.8,3,"virginica"
28,7.2,3,"virginica"
29,5.7,2.8,"versicolor"
30,4.8,3,"setosa"
31,4.7,3.2,"setosa"
32,6.1,2.8,"versicolor"
33,5.1,3.5,"setosa"
34,5,3.4,"setosa"
35,4.4,3.2,"setosa"
36,6.4,2.7,"virginica"
37,4.4,3,"setosa"
38,5.9,3,"versicolor"
39,4.9,3,"setosa"
40,4.4,3,"setosa"
41,6.7,3.3,"virginica"
42,6.2,3.4,"virginica"
43,4.4,3.2,"setosa"
44,6,2.2,"virginica"
45,5.6,2.8,"virginica"
46,4.9,2.5,"virginica"
47,6,3.4,"versicolor"
48,4.9,3.1,"setosa"
49,6.2,2.9,"versicolor"
50,6.4,3.2,"versicolor"
51,5.5,2.4,"versicolor"
52,5.5,2.3,"versicolor"
53,5.7,3,"versicolor"
54,6.3,2.3,"versicolor"
55,5.7,4.4,"setosa"
56,5.7,4.4,"setosa"
57,6,2.2,"virginica"
58,6.4,2.8,"virginica"
59,6.3,2.5,"versicolor"
60,5.8,2.7,"versicolor"
61,4.6,3.4,"setosa"
62,5.1,3.5,"setosa"
63,6.2,2.8,"virginica"
64,6.3,2.8,"virginica"
65,5.7,2.5,"virginica"
66,5.2,4.1,"setosa"
67,5,3.5,"setosa"
68,5.8,2.7,"versicolor"
69,5.8,2.7,"versicolor"
70,5.1,3.3,"setosa"
71,5.5,2.4,"versicolor"
72,5.1,3.5,"setosa"
73,7.2,3,"virginica"
74,6,2.2,"virginica"
75,5.7,2.5,"virginica"
76,5.9,3,"virginica"
77,5.2,2.7,"versicolor"
78,4.5,2.3,"setosa"
79,7.1,3,"virginica"
80,5.1,3.8,"setosa"
81,5.7,2.6,"versicolor"
82,4.4,3.2,"setosa"
83,5.6,2.5,"versicolor"
84,6.7,3.3,"virginica"
85,6,3,"virginica"
86,6.1,3,"virginica"
87,6.9,3.1,"virginica"
88,5.8,2.7,"versicolor"
89,6.7,3,"versicolor"
90,6.7,3,"virginica"
91,5.8,2.7,"virginica"
92,6.3,2.9,"virginica"
93,6.1,3,"virginica"
94,5.4,3.9,"setosa"
95,5.1,2.5,"versicolor"
96,5.7,2.8,"versicolor"
97,6.4,3.2,"versicolor"
98,6.7,3.1,"virginica"
99,5.8,4,"setosa"
100,6.1,2.9,"versicolor"
101,7.7,3,"virginica"
102,6.2,2.9,"versicolor"
103,5,3,"setosa"
104,5.4,3.9,"setosa"
105,5.3,3.7,"setosa"
106,6.8,3,"virginica"
107,4.9,3.1,"setosa"
108,7.2,3.2,"virginica"
109,5.2,3.4,"setosa"
110,4.6,3.4,"setosa"
111,5.1,3.3,"setosa"
112,5,3.5,"setosa"
113,5,3.5,"setosa"
114,5.1,3.8,"setosa"
115,4.9,3,"setosa"
116,6.3,2.5,"virginica"
117,5,3.5,"setosa"
118,6.8,3,"virginica"
119,6.3,3.3,"virginica"
120,5.8,2.7,"virginica"
121,4.4,3.2,"setosa"
122,4.4,3.2,"setosa"
123,5.5,2.3,"versicolor"
124,6.1,2.9,"versicolor"
125,5,3.5,"setosa"
126,6,2.2,"versicolor"
127,4.7,3.2,"setosa"
128,4.9,2.4,"versicolor"
129,5.4,3.9,"setosa"
130,6.4,2.8,"virginica"
131,6.7,3.3,"virginica"
132,5.1,3.5,"setosa"
133,4.4,3.2,"setosa"
134,6.7,3,"versicolor"
135,6.7,3.1,"virginica"
136,6.1,2.6,"virginica"
137,6.2,2.8,"virginica"
138,5.7,2.6,"versicolor"
139,6.7,3.1,"virginica"
140,7.3,2.9,"virginica"
141,5,3.2,"setosa"
142,6.8,3,"virginica"
143,6.5,3,"virginica"
144,6.7,3.1,"versicolor"
145,6.3,2.9,"virginica"
146,6.2,2.8,"virginica"
147,6,3,"virginica"
148,5.8,2.7,"virginica"
149,5,3.5,"setosa"
150,4.3,3,"setosa"
