"ID","Petal.Length","Petal.Width","Species"
1,4.5,1.5,"versicolor"
2,6.7,2.2,"virginica"
3,4.2,1.2,"versicolor"
4,4.7,1.2,"versicolor"
5,1.7,0.5,"setosa"
6,1.1,0.1,"setosa"
7,4.8,1.8,"virginica"
8,1.6,0.6,"setosa"
9,1.4,0.3,"setosa"
10,4,1.3,"versicolor"
11,1.6,0.2,"setosa"
12,4.4,1.2,"versicolor"
13,1.3,0.2,"setosa"
14,1.2,0.2,"setosa"
15,5.1,1.5,"virginica"
16,4.5,1.5,"versicolor"
17,5.7,2.5,"virginica"
18,5.2,2.3,"virginica"
19,1.5,0.4,"setosa"
20,4.5,1.3,"versicolor"
21,6.7,2,"virginica"
22,5.5,1.8,"virginica"
23,3.6,1.3,"versicolor"
24,5.1,1.5,"virginica"
25,5,1.5,"virginica"
26,5,1.5,"virginica"
27,5.5,2.1,"virginica"
28,5.8,1.6,"virginica"
29,4.1,1.3,"versicolor"
30,1.4,0.3,"setosa"
31,1.6,0.2,"setosa"
32,4.7,1.2,"versicolor"
33,1.4,0.2,"setosa"
34,1.6,0.4,"setosa"
35,1.3,0.2,"setosa"
36,5.3,1.9,"virginica"
37,1.3,0.2,"setosa"
38,4.2,1.5,"versicolor"
39,1.4,0.2,"setosa"
40,1.3,0.2,"setosa"
41,5.7,2.5,"virginica"
42,5.4,2.3,"virginica"
43,1.3,0.2,"setosa"
44,5,1.5,"virginica"
45,4.9,2,"virginica"
46,4.5,1.7,"virginica"
47,4.5,1.6,"versicolor"
48,1.5,0.2,"setosa"
49,4.3,1.3,"versicolor"
50,4.5,1.5,"versicolor"
51,3.7,1,"versicolor"
52,4,1.3,"versicolor"
53,4.2,1.2,"versicolor"
54,4.4,1.3,"versicolor"
55,1.5,0.4,"setosa"
56,1.5,0.4,"setosa"
57,5,1.5,"virginica"
58,5.6,2.1,"virginica"
59,4.9,1.5,"versicolor"
60,3.9,1.2,"versicolor"
61,1.4,0.3,"setosa"
62,1.4,0.2,"setosa"
63,4.8,1.8,"virginica"
64,5.1,1.5,"virginica"
65,5,2,"virginica"
66,9999,0.1,"setosa"
67,1.6,0.6,"setosa"
68,3.9,1.2,"versicolor"
69,3.9,1.2,"versicolor"
70,1.7,0.5,"setosa"
71,3.8,1.1,"versicolor"
72,1.4,0.2,"setosa"
73,5.8,1.6,"virginica"
74,5,1.5,"virginica"
75,5,2,"virginica"
76,5.1,1.8,"virginica"
77,3.9,1.4,"versicolor"
78,1.3,0.3,"setosa"
79,5.9,2.1,"virginica"
80,1.6,0.2,"setosa"
81,3.5,1,"versicolor"
82,1.3,0.2,"setosa"
83,3.9,1.1,"versicolor"
84,5.7,2.5,"virginica"
85,4.8,1.8,"virginica"
86,4.9,1.8,"virginica"
87,5.1,2.3,"virginica"
88,3.9,1.2,"versicolor"
89,5,1.7,"versicolor"
90,5.2,2.3,"virginica"
91,5.1,1.9,"virginica"
92,5.6,1.8,"virginica"
93,4.9,1.8,"virginica"
94,1.3,0.4,"setosa"
95,3,1.1,"versicolor"
96,4.1,1.3,"versicolor"
97,4.5,1.5,"versicolor"
98,5.6,2.4,"virginica"
99,1.2,0.2,"setosa"
100,4.7,1.4,"versicolor"
101,6.1,2.3,"virginica"
102,4.3,1.3,"versicolor"
103,1.6,0.2,"setosa"
104,1.7,0.4,"setosa"
105,1.5,0.2,"setosa"
106,5.5,2.1,"virginica"
107,1.5,0.2,"setosa"
108,6,1.8,"virginica"
109,1.4,0.2,"setosa"
110,1.4,0.3,"setosa"
111,1.7,0.5,"setosa"
112,1.3,0.3,"setosa"
113,1.6,0.6,"setosa"
114,1.9,0.4,"setosa"
115,1.4,0.2,"setosa"
116,5,1.9,"virginica"
117,1.6,0.6,"setosa"
118,5.5,2.1,"virginica"
119,6,2.5,"virginica"
120,5.1,1.9,"virginica"
121,1.3,0.2,"setosa"
122,1.3,0.2,"setosa"
123,4,1.3,"versicolor"
124,4.7,1.4,"versicolor"
125,1.6,0.6,"setosa"
126,4,1,"versicolor"
127,1.3,0.2,"setosa"
128,3.3,1,"versicolor"
129,1.3,0.4,"setosa"
130,5.6,2.2,"virginica"
131,5.7,2.1,"virginica"
132,1.4,0.2,"setosa"
133,1.3,0.2,"setosa"
134,5,1.7,"versicolor"
135,5.6,2.4,"virginica"
136,5.6,1.4,"virginica"
137,4.8,1.8,"virginica"
138,3.5,1,"versicolor"
139,5.6,2.4,"virginica"
140,6.3,1.8,"virginica"
141,1.2,0.2,"setosa"
142,5.5,2.1,"virginica"
143,5.5,1.8,"virginica"
144,4.7,1.5,"versicolor"
145,5.6,1.8,"virginica"
146,4.8,1.8,"virginica"
147,4.8,1.8,"virginica"
148,5.1,1.9,"virginica"
149,1.6,0.6,"setosa"
150,1.1,0.1,"setosa"
