"sepal.length","sepal.width","petal.length","petal.width","sepal.length.norm","sepal.width.norm","petal.length.norm","petal.width.norm","class"
6.4,3.2,4.5,1.5,0.61764705882353,0.454545454545455,0.607142857142857,0.583333333333333,"versicolor"
7.7,3.8,6.7,2.2,1,0.727272727272727,1,0.875,"virginica"
5.7,3,4.2,1.2,0.411764705882353,0.363636363636364,0.553571428571429,0.458333333333333,"versicolor"
6.1,2.8,4.7,1.2,0.529411764705882,0.272727272727273,0.642857142857143,0.458333333333333,"versicolor"
5.1,3.3,1.7,0.5,0.235294117647059,0.5,0.107142857142857,0.166666666666667,"setosa"
4.3,3,1.1,0.1,0,0.363636363636364,0,0,"setosa"
6.2,2.8,4.8,1.8,0.558823529411765,0.272727272727273,0.660714285714286,0.708333333333333,"virginica"
5,3.5,1.6,0.6,0.205882352941176,0.590909090909091,0.0892857142857143,0.208333333333333,"setosa"
4.8,3,1.4,0.3,0.147058823529412,0.363636363636364,0.0535714285714285,0.0833333333333333,"setosa"
5.5,2.3,4,1.3,0.352941176470588,0.0454545454545453,0.517857142857143,0.5,"versicolor"
5.1,3.8,1.6,0.2,0.235294117647059,0.727272727272727,0.0892857142857143,0.0416666666666667,"setosa"
5.5,2.6,4.4,1.2,0.352941176470588,0.181818181818182,0.589285714285714,0.458333333333333,"versicolor"
5.5,3.5,1.3,0.2,0.352941176470588,0.590909090909091,0.0357142857142857,0.0416666666666667,"setosa"
5,3.2,1.2,0.2,0.205882352941176,0.454545454545455,0.0178571428571428,0.0416666666666667,"setosa"
6.3,2.8,5.1,1.5,0.588235294117647,0.272727272727273,0.714285714285714,0.583333333333333,"virginica"
6.7,3.3,5.7,2.5,0.705882352941177,0.5,0.821428571428571,1,"virginica"
6.7,3,5.2,2.3,0.705882352941177,0.363636363636364,0.732142857142857,0.916666666666667,"virginica"
5.33958455557941,4.4,1.5,0.4,0.305760163405707,1,0.0714285714285714,0.125,"setosa"
5.7,2.8,4.5,1.3,0.411764705882353,0.272727272727273,0.607142857142857,0.5,"versicolor"
7.7,2.8,6.7,2,1,0.272727272727273,1,0.791666666666667,"virginica"
6.4,3.1,5.5,1.8,0.61764705882353,0.409090909090909,0.785714285714286,0.708333333333333,"virginica"
5.6,2.9,3.6,1.3,0.382352941176471,0.318181818181818,0.446428571428571,0.5,"versicolor"
6,2.2,5,1.5,0.5,0,0.696428571428572,0.583333333333333,"virginica"
6.8,3,5.5,2.1,0.735294117647059,0.363636363636364,0.785714285714286,0.833333333333333,"virginica"
7.2,3,5.8,1.6,0.852941176470588,0.363636363636364,0.839285714285714,0.625,"virginica"
5.7,2.8,4.1,1.3,0.411764705882353,0.272727272727273,0.535714285714286,0.5,"versicolor"
4.7,3.2,1.6,0.2,0.11764705882353,0.454545454545455,0.0892857142857143,0.0416666666666667,"setosa"
5.1,3.5,1.4,0.2,0.235294117647059,0.590909090909091,0.0535714285714285,0.0416666666666667,"setosa"
5,3.4,1.6,0.4,0.205882352941176,0.545454545454545,0.0892857142857143,0.125,"setosa"
4.4,3.2,1.3,0.2,0.0294117647058825,0.454545454545455,0.0357142857142857,0.0416666666666667,"setosa"
6.4,2.7,5.3,1.9,0.61764705882353,0.227272727272727,0.75,0.75,"virginica"
4.4,3,1.3,0.2,0.0294117647058825,0.363636363636364,0.0357142857142857,0.0416666666666667,"setosa"
5.9,3,4.2,1.5,0.470588235294118,0.363636363636364,0.553571428571429,0.583333333333333,"versicolor"
4.9,3,1.4,0.2,0.176470588235294,0.363636363636364,0.0535714285714285,0.0416666666666667,"setosa"
6.2,3.4,5.4,2.3,0.558823529411765,0.545454545454545,0.767857142857143,0.916666666666667,"virginica"
5.6,2.8,4.9,2,0.382352941176471,0.272727272727273,0.678571428571429,0.791666666666667,"virginica"
4.9,2.5,4.5,1.7,0.176470588235294,0.136363636363636,0.607142857142857,0.666666666666667,"virginica"
6,3.4,4.5,1.6,0.5,0.545454545454545,0.607142857142857,0.625,"versicolor"
4.9,3.1,1.5,0.2,0.176470588235294,0.409090909090909,0.0714285714285714,0.0416666666666667,"setosa"
6.2,2.9,4.3,1.3,0.558823529411765,0.318181818181818,0.571428571428571,0.5,"versicolor"
5.5,2.4,3.7,1,0.352941176470588,0.0909090909090908,0.464285714285714,0.375,"versicolor"
6.3,2.3,4.4,1.3,0.588235294117647,0.0454545454545453,0.589285714285714,0.5,"versicolor"
5.7,4.4,1.5,0.4,0.411764705882353,1,0.0714285714285714,0.125,"setosa"
6.4,2.8,5.6,2.1,0.61764705882353,0.272727272727273,0.803571428571429,0.833333333333333,"virginica"
6.3,2.5,4.9,1.5,0.588235294117647,0.136363636363636,0.678571428571429,0.583333333333333,"versicolor"
5.8,2.7,3.9,1.2,0.441176470588235,0.227272727272727,0.5,0.458333333333333,"versicolor"
4.6,3.4,1.4,0.3,0.088235294117647,0.545454545454545,0.0535714285714285,0.0833333333333333,"setosa"
5.7,2.5,5,2,0.411764705882353,0.136363636363636,0.696428571428572,0.791666666666667,"virginica"
